repo_path,name,start,raw_code,code,doc,tokens
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/BeanTestConfiguration.java,BeanTestConfiguration,23,"@TestConfiguration
@Getter
public class BeanTestConfiguration {

    private static final int MAXIMUM_CORE_SIZE = 10;

    private static final int CORE_SIZE = 10;

    private static final int TIMEOUT_MS = 3000;

    private static final String REMOTE_SERVICE_TEST = ""RemoteServiceTest"";

    private ClientConfiguration clientConfig = mock(ClientConfiguration.class);

    @Bean
    @Primary
    public RestClient restClientTest(RestClientHistrixCommandHandler hystrixCommandHandler) {
        OkHttpClient client = spy(new OkHttpClient.Builder().build());
        ObjectMapper mapper = spy(new ObjectMapper().registerModule(new JavaTimeModule()).configure(SerializationFeature.WRITE_DATES_AS_TIMESTAMPS, false).configure(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES, false));
        return new RestClient(clientConfig, client, mapper, hystrixCommandHandler);
    }

    @Bean
    public HystrixCommand.Setter histrixCommandSetter() {
        return HystrixCommand.Setter.withGroupKey(HystrixCommandGroupKey.Factory.asKey(REMOTE_SERVICE_TEST)).andCommandPropertiesDefaults(HystrixCommandProperties.Setter().withExecutionTimeoutEnabled(true).withExecutionTimeoutInMilliseconds(TIMEOUT_MS)).andThreadPoolPropertiesDefaults(HystrixThreadPoolProperties.Setter().withCoreSize(CORE_SIZE).withMaximumSize(MAXIMUM_CORE_SIZE));
    }
}","@TestConfiguration
@Getter
public class BeanTestConfiguration {

    private static final int MAXIMUM_CORE_SIZE = 10;

    private static final int CORE_SIZE = 10;

    private static final int TIMEOUT_MS = 3000;

    private static final String REMOTE_SERVICE_TEST = ""RemoteServiceTest"";

    private ClientConfiguration clientConfig = mock(ClientConfiguration.class);

    @Bean
    @Primary
    public RestClient restClientTest(RestClientHistrixCommandHandler hystrixCommandHandler) {
        OkHttpClient client = spy(new OkHttpClient.Builder().build());
        ObjectMapper mapper = spy(new ObjectMapper().registerModule(new JavaTimeModule()).configure(SerializationFeature.WRITE_DATES_AS_TIMESTAMPS, false).configure(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES, false));
        return new RestClient(clientConfig, client, mapper, hystrixCommandHandler);
    }

    @Bean
    public HystrixCommand.Setter histrixCommandSetter() {
        return HystrixCommand.Setter.withGroupKey(HystrixCommandGroupKey.Factory.asKey(REMOTE_SERVICE_TEST)).andCommandPropertiesDefaults(HystrixCommandProperties.Setter().withExecutionTimeoutEnabled(true).withExecutionTimeoutInMilliseconds(TIMEOUT_MS)).andThreadPoolPropertiesDefaults(HystrixThreadPoolProperties.Setter().withCoreSize(CORE_SIZE).withMaximumSize(MAXIMUM_CORE_SIZE));
    }
}",,TestConfiguration Getter public class BeanTestConfiguration private static final int MAXIMUM_CORE_SIZE 10 private static final int CORE_SIZE 10 private static final int TIMEOUT_MS 3000 private static final String REMOTE_SERVICE_TEST RemoteServiceTest private ClientConfiguration clientConfig mock ClientConfiguration class Bean Primary public RestClient restClientTest RestClientHistrixCommandHandler hystrixCommandHandler OkHttpClient client spy new OkHttpClient Builder build ObjectMapper mapper spy new ObjectMapper registerModule new JavaTimeModule configure SerializationFeature WRITE_DATES_AS_TIMESTAMPS false configure DeserializationFeature FAIL_ON_UNKNOWN_PROPERTIES false return new RestClient clientConfig client mapper hystrixCommandHandler Bean public HystrixCommand Setter histrixCommandSetter return HystrixCommand Setter withGroupKey HystrixCommandGroupKey Factory asKey REMOTE_SERVICE_TEST andCommandPropertiesDefaults HystrixCommandProperties Setter withExecutionTimeoutEnabled true withExecutionTimeoutInMilliseconds TIMEOUT_MS andThreadPoolPropertiesDefaults HystrixThreadPoolProperties Setter withCoreSize CORE_SIZE withMaximumSize MAXIMUM_CORE_SIZE
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/BeanTestConfiguration.java,restClientTest,33,"@Bean
@Primary
public RestClient restClientTest(RestClientHistrixCommandHandler hystrixCommandHandler) {
    OkHttpClient client = spy(new OkHttpClient.Builder().build());
    ObjectMapper mapper = spy(new ObjectMapper().registerModule(new JavaTimeModule()).configure(SerializationFeature.WRITE_DATES_AS_TIMESTAMPS, false).configure(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES, false));
    return new RestClient(clientConfig, client, mapper, hystrixCommandHandler);
}","@Bean
@Primary
public RestClient restClientTest(RestClientHistrixCommandHandler hystrixCommandHandler) {
    OkHttpClient client = spy(new OkHttpClient.Builder().build());
    ObjectMapper mapper = spy(new ObjectMapper().registerModule(new JavaTimeModule()).configure(SerializationFeature.WRITE_DATES_AS_TIMESTAMPS, false).configure(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES, false));
    return new RestClient(clientConfig, client, mapper, hystrixCommandHandler);
}",,Bean Primary public RestClient restClientTest RestClientHistrixCommandHandler hystrixCommandHandler OkHttpClient client spy new OkHttpClient Builder build ObjectMapper mapper spy new ObjectMapper registerModule new JavaTimeModule configure SerializationFeature WRITE_DATES_AS_TIMESTAMPS false configure DeserializationFeature FAIL_ON_UNKNOWN_PROPERTIES false return new RestClient clientConfig client mapper hystrixCommandHandler
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/BeanTestConfiguration.java,histrixCommandSetter,46,"@Bean
public HystrixCommand.Setter histrixCommandSetter() {
    return HystrixCommand.Setter.withGroupKey(HystrixCommandGroupKey.Factory.asKey(REMOTE_SERVICE_TEST)).andCommandPropertiesDefaults(HystrixCommandProperties.Setter().withExecutionTimeoutEnabled(true).withExecutionTimeoutInMilliseconds(TIMEOUT_MS)).andThreadPoolPropertiesDefaults(HystrixThreadPoolProperties.Setter().withCoreSize(CORE_SIZE).withMaximumSize(MAXIMUM_CORE_SIZE));
}","@Bean
public HystrixCommand.Setter histrixCommandSetter() {
    return HystrixCommand.Setter.withGroupKey(HystrixCommandGroupKey.Factory.asKey(REMOTE_SERVICE_TEST)).andCommandPropertiesDefaults(HystrixCommandProperties.Setter().withExecutionTimeoutEnabled(true).withExecutionTimeoutInMilliseconds(TIMEOUT_MS)).andThreadPoolPropertiesDefaults(HystrixThreadPoolProperties.Setter().withCoreSize(CORE_SIZE).withMaximumSize(MAXIMUM_CORE_SIZE));
}",,Bean public HystrixCommand Setter histrixCommandSetter return HystrixCommand Setter withGroupKey HystrixCommandGroupKey Factory asKey REMOTE_SERVICE_TEST andCommandPropertiesDefaults HystrixCommandProperties Setter withExecutionTimeoutEnabled true withExecutionTimeoutInMilliseconds TIMEOUT_MS andThreadPoolPropertiesDefaults HystrixThreadPoolProperties Setter withCoreSize CORE_SIZE withMaximumSize MAXIMUM_CORE_SIZE
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/EmbeddedRedisTestConfiguration.java,EmbeddedRedisTestConfiguration,10,"@TestConfiguration
public class EmbeddedRedisTestConfiguration {

    private final RedisServer redisServer;

    public EmbeddedRedisTestConfiguration(@Value(""${spring.redis.port}"") final int redisPort) throws IOException {
        this.redisServer = RedisServer.builder().setting(""bind 127.0.0.1"").setting(""daemonize no"").setting(""appendonly no"").setting(""maxmemory 128M"").port(redisPort).build();
    }

    @PostConstruct
    public void startRedis() {
        try {
            if (!redisServer.isActive()) {
                this.redisServer.start();
            }
        } catch (RuntimeException e) {
            this.redisServer.stop();
        }
    }

    @PreDestroy
    public void stopRedis() {
        this.redisServer.stop();
    }
}","@TestConfiguration
public class EmbeddedRedisTestConfiguration {

    private final RedisServer redisServer;

    public EmbeddedRedisTestConfiguration(@Value(""${spring.redis.port}"") final int redisPort) throws IOException {
        this.redisServer = RedisServer.builder().setting(""bind 127.0.0.1"").setting(""daemonize no"").setting(""appendonly no"").setting(""maxmemory 128M"").port(redisPort).build();
    }

    @PostConstruct
    public void startRedis() {
        try {
            if (!redisServer.isActive()) {
                this.redisServer.start();
            }
        } catch (RuntimeException e) {
            this.redisServer.stop();
        }
    }

    @PreDestroy
    public void stopRedis() {
        this.redisServer.stop();
    }
}",,TestConfiguration public class EmbeddedRedisTestConfiguration private final RedisServer redisServer public EmbeddedRedisTestConfiguration Value spring redis port final int redisPort throws IOException this redisServer RedisServer builder setting bind 127 0 0 1 setting daemonize no setting appendonly no setting maxmemory 128M port redisPort build PostConstruct public void startRedis try if redisServer isActive this redisServer start catch RuntimeException e this redisServer stop PreDestroy public void stopRedis this redisServer stop
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/EmbeddedRedisTestConfiguration.java,startRedis,23,"@PostConstruct
public void startRedis() {
    try {
        if (!redisServer.isActive()) {
            this.redisServer.start();
        }
    } catch (RuntimeException e) {
        this.redisServer.stop();
    }
}","@PostConstruct
public void startRedis() {
    try {
        if (!redisServer.isActive()) {
            this.redisServer.start();
        }
    } catch (RuntimeException e) {
        this.redisServer.stop();
    }
}",,PostConstruct public void startRedis try if redisServer isActive this redisServer start catch RuntimeException e this redisServer stop
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/config/EmbeddedRedisTestConfiguration.java,stopRedis,34,"@PreDestroy
public void stopRedis() {
    this.redisServer.stop();
}","@PreDestroy
public void stopRedis() {
    this.redisServer.stop();
}",,PreDestroy public void stopRedis this redisServer stop
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/AccountsApplicationTest.java,AccountsApplicationTest,9,"@RunWith(SpringRunner.class)
@SpringBootTest
@ActiveProfiles(""test"")
public class AccountsApplicationTest {

    @Test
    public void contextLoads() {
    }
}","@RunWith(SpringRunner.class)
@SpringBootTest
@ActiveProfiles(""test"")
public class AccountsApplicationTest {

    @Test
    public void contextLoads() {
    }
}",,RunWith SpringRunner class SpringBootTest ActiveProfiles test public class AccountsApplicationTest Test public void contextLoads
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/AccountsApplicationTest.java,contextLoads,14,"@Test
public void contextLoads() {
}","@Test
public void contextLoads() {
}",,Test public void contextLoads
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/group/io/web/v2/GroupResponseTest.java,GroupResponseTest,22,"@RunWith(MockitoJUnitRunner.class)
public class GroupResponseTest {

    @Spy
    private Group entity = new Group();

    @Before
    public void setUp() {
        entity.setCommunityId(1L);
        entity.setVisibility(GroupVisibility.PUBLIC);
        entity.setType(GroupType.NONE);
        entity.setOrigin(GroupOrigin.SMU);
        entity.setGroupMemberUsers(Arrays.asList(new GroupMemberUser(entity, 1, new HashSet<>(Arrays.asList(""LEADER""))), new GroupMemberUser(entity, 2, new HashSet<>(Arrays.asList(""MEMBER"")))));
        entity.setGroupChildGroups(Arrays.asList(new GroupChildGroup(entity, 2)));
        doReturn(1L).when(entity).getId();
    }

    @Test
    public void testBuildGroupDetailsFromEntityWithAmounts() {
        GroupDetails groupDetails = GroupResponse.GroupDetails.fromEntity(entity);
        assertThat(groupDetails).isNotNull();
        assertThat(groupDetails.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupDetails.getLeaders().size()).isEqualTo(1);
        assertThat(groupDetails.getLeaders().get(0).getUserId()).isEqualTo(entity.getGroupMemberUsers().get(0).getId().getUserId());
        assertThat(groupDetails.getAmountOfMembers()).isEqualTo(2);
        assertThat(groupDetails.getAmountOfSubgroups()).isEqualTo(1);
    }

    @Test
    public void testBuildGroupBasicFromEntityWithAmounts() {
        GroupBasic groupBasic = GroupResponse.GroupBasic.fromEntity(entity);
        assertThat(groupBasic).isNotNull();
        assertThat(groupBasic.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupBasic.getLeaders().size()).isEqualTo(1);
        assertThat(groupBasic.getLeaders().get(0).getUserId()).isEqualTo(entity.getGroupMemberUsers().get(0).getId().getUserId());
        assertThat(groupBasic.getAmountOfMembers()).isEqualTo(2);
        assertThat(groupBasic.getAmountOfSubgroups()).isEqualTo(1);
    }

    @Test
    public void testBuildGroupBasicFromEntityWithoutAmounts() {
        entity.setGroupMemberUsers(null);
        entity.setGroupChildGroups(null);
        GroupBasic groupBasic = GroupResponse.GroupBasic.fromEntity(entity);
        assertThat(groupBasic).isNotNull();
        assertThat(groupBasic.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupBasic.getLeaders()).isNullOrEmpty();
        assertThat(groupBasic.getAmountOfMembers()).isEqualTo(0);
        assertThat(groupBasic.getAmountOfSubgroups()).isEqualTo(0);
    }
}","@RunWith(MockitoJUnitRunner.class)
public class GroupResponseTest {

    @Spy
    private Group entity = new Group();

    @Before
    public void setUp() {
        entity.setCommunityId(1L);
        entity.setVisibility(GroupVisibility.PUBLIC);
        entity.setType(GroupType.NONE);
        entity.setOrigin(GroupOrigin.SMU);
        entity.setGroupMemberUsers(Arrays.asList(new GroupMemberUser(entity, 1, new HashSet<>(Arrays.asList(""LEADER""))), new GroupMemberUser(entity, 2, new HashSet<>(Arrays.asList(""MEMBER"")))));
        entity.setGroupChildGroups(Arrays.asList(new GroupChildGroup(entity, 2)));
        doReturn(1L).when(entity).getId();
    }

    @Test
    public void testBuildGroupDetailsFromEntityWithAmounts() {
        GroupDetails groupDetails = GroupResponse.GroupDetails.fromEntity(entity);
        assertThat(groupDetails).isNotNull();
        assertThat(groupDetails.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupDetails.getLeaders().size()).isEqualTo(1);
        assertThat(groupDetails.getLeaders().get(0).getUserId()).isEqualTo(entity.getGroupMemberUsers().get(0).getId().getUserId());
        assertThat(groupDetails.getAmountOfMembers()).isEqualTo(2);
        assertThat(groupDetails.getAmountOfSubgroups()).isEqualTo(1);
    }

    @Test
    public void testBuildGroupBasicFromEntityWithAmounts() {
        GroupBasic groupBasic = GroupResponse.GroupBasic.fromEntity(entity);
        assertThat(groupBasic).isNotNull();
        assertThat(groupBasic.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupBasic.getLeaders().size()).isEqualTo(1);
        assertThat(groupBasic.getLeaders().get(0).getUserId()).isEqualTo(entity.getGroupMemberUsers().get(0).getId().getUserId());
        assertThat(groupBasic.getAmountOfMembers()).isEqualTo(2);
        assertThat(groupBasic.getAmountOfSubgroups()).isEqualTo(1);
    }

    @Test
    public void testBuildGroupBasicFromEntityWithoutAmounts() {
        entity.setGroupMemberUsers(null);
        entity.setGroupChildGroups(null);
        GroupBasic groupBasic = GroupResponse.GroupBasic.fromEntity(entity);
        assertThat(groupBasic).isNotNull();
        assertThat(groupBasic.getCommunityId()).isEqualTo(entity.getCommunityId());
        assertThat(groupBasic.getLeaders()).isNullOrEmpty();
        assertThat(groupBasic.getAmountOfMembers()).isEqualTo(0);
        assertThat(groupBasic.getAmountOfSubgroups()).isEqualTo(0);
    }
}",,RunWith MockitoJUnitRunner class public class GroupResponseTest Spy private Group entity new Group Before public void setUp entity setCommunityId 1L entity setVisibility GroupVisibility PUBLIC entity setType GroupType NONE entity setOrigin GroupOrigin SMU entity setGroupMemberUsers Arrays asList new GroupMemberUser entity 1 new HashSet Arrays asList LEADER new GroupMemberUser entity 2 new HashSet Arrays asList MEMBER entity setGroupChildGroups Arrays asList new GroupChildGroup entity 2 doReturn 1L when entity getId Test public void testBuildGroupDetailsFromEntityWithAmounts GroupDetails groupDetails GroupResponse GroupDetails fromEntity entity assertThat groupDetails isNotNull assertThat groupDetails getCommunityId isEqualTo entity getCommunityId assertThat groupDetails getLeaders size isEqualTo 1 assertThat groupDetails getLeaders get 0 getUserId isEqualTo entity getGroupMemberUsers get 0 getId getUserId assertThat groupDetails getAmountOfMembers isEqualTo 2 assertThat groupDetails getAmountOfSubgroups isEqualTo 1 Test public void testBuildGroupBasicFromEntityWithAmounts GroupBasic groupBasic GroupResponse GroupBasic fromEntity entity assertThat groupBasic isNotNull assertThat groupBasic getCommunityId isEqualTo entity getCommunityId assertThat groupBasic getLeaders size isEqualTo 1 assertThat groupBasic getLeaders get 0 getUserId isEqualTo entity getGroupMemberUsers get 0 getId getUserId assertThat groupBasic getAmountOfMembers isEqualTo 2 assertThat groupBasic getAmountOfSubgroups isEqualTo 1 Test public void testBuildGroupBasicFromEntityWithoutAmounts entity setGroupMemberUsers null entity setGroupChildGroups null GroupBasic groupBasic GroupResponse GroupBasic fromEntity entity assertThat groupBasic isNotNull assertThat groupBasic getCommunityId isEqualTo entity getCommunityId assertThat groupBasic getLeaders isNullOrEmpty assertThat groupBasic getAmountOfMembers isEqualTo 0 assertThat groupBasic getAmountOfSubgroups isEqualTo 0
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/group/io/web/v2/GroupResponseTest.java,setUp,28,"@Before
public void setUp() {
    entity.setCommunityId(1L);
    entity.setVisibility(GroupVisibility.PUBLIC);
    entity.setType(GroupType.NONE);
    entity.setOrigin(GroupOrigin.SMU);
    entity.setGroupMemberUsers(Arrays.asList(new GroupMemberUser(entity, 1, new HashSet<>(Arrays.asList(""LEADER""))), new GroupMemberUser(entity, 2, new HashSet<>(Arrays.asList(""MEMBER"")))));
    entity.setGroupChildGroups(Arrays.asList(new GroupChildGroup(entity, 2)));
    doReturn(1L).when(entity).getId();
}","@Before
public void setUp() {
    entity.setCommunityId(1L);
    entity.setVisibility(GroupVisibility.PUBLIC);
    entity.setType(GroupType.NONE);
    entity.setOrigin(GroupOrigin.SMU);
    entity.setGroupMemberUsers(Arrays.asList(new GroupMemberUser(entity, 1, new HashSet<>(Arrays.asList(""LEADER""))), new GroupMemberUser(entity, 2, new HashSet<>(Arrays.asList(""MEMBER"")))));
    entity.setGroupChildGroups(Arrays.asList(new GroupChildGroup(entity, 2)));
    doReturn(1L).when(entity).getId();
}",,Before public void setUp entity setCommunityId 1L entity setVisibility GroupVisibility PUBLIC entity setType GroupType NONE entity setOrigin GroupOrigin SMU entity setGroupMemberUsers Arrays asList new GroupMemberUser entity 1 new HashSet Arrays asList LEADER new GroupMemberUser entity 2 new HashSet Arrays asList MEMBER entity setGroupChildGroups Arrays asList new GroupChildGroup entity 2 doReturn 1L when entity getId
