repo_path,name,start,raw_code,code,doc,tokens
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/admin/service/AdminServiceImplTest.java,setUp,43,"/**
 * setUp method.
 */
@Before
public void setUp() {
    List<OsUser> users = new ArrayList<OsUser>();
    List<Member> members = new ArrayList<Member>();
    Community community = spy(new Community(""Globant""));
    users.add(spy(new OsUser(""Jhon"", ""Doe"")));
    users.add(spy(new OsUser(""Jhon2"", ""Doe2"")));
    members.add(new Member(community, users.get(0), ""1"", ""jhon.doe@globant.com""));
    members.add(new Member(community, users.get(1), ""2"", ""jhon.doe2@globant.com""));
    when(userService.create(anyList())).thenReturn(users);
    when(memberService.create(eq(COMMUNITY_ID), anyList())).thenReturn(members);
    // Fix to get id of Entities
    for (int i = 0; i < users.size(); i++) {
        when(users.get(i).getId()).thenReturn((long) i);
    }
    when(community.getId()).thenReturn(COMMUNITY_ID);
}","@Before
public void setUp() {
    List<OsUser> users = new ArrayList<OsUser>();
    List<Member> members = new ArrayList<Member>();
    Community community = spy(new Community(""Globant""));
    users.add(spy(new OsUser(""Jhon"", ""Doe"")));
    users.add(spy(new OsUser(""Jhon2"", ""Doe2"")));
    members.add(new Member(community, users.get(0), ""1"", ""jhon.doe@globant.com""));
    members.add(new Member(community, users.get(1), ""2"", ""jhon.doe2@globant.com""));
    when(userService.create(anyList())).thenReturn(users);
    when(memberService.create(eq(COMMUNITY_ID), anyList())).thenReturn(members);
    for (int i = 0; i < users.size(); i++) {
        when(users.get(i).getId()).thenReturn((long) i);
    }
    when(community.getId()).thenReturn(COMMUNITY_ID);
}","setUp method.
",Before public void setUp List OsUser users new ArrayList OsUser List Member members new ArrayList Member Community community spy new Community Globant users add spy new OsUser Jhon Doe users add spy new OsUser Jhon2 Doe2 members add new Member community users get 0 1 jhon doe globant com members add new Member community users get 1 2 jhon doe2 globant com when userService create anyList thenReturn users when memberService create eq COMMUNITY_ID anyList thenReturn members for int i 0 i users size i when users get i getId thenReturn long i when community getId thenReturn COMMUNITY_ID
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/user/service/UserServiceImplTest.java,setUp,34,"/**
 * setUp method.
 */
@Before
public void setUp() {
    userCreateCmd = new UserCreateCmd();
    userCreateCmd.setFirstName(""John"");
    userCreateCmd.setLastName(""Doe"");
    userCreateCmd.setImage(""50D840B674A5C868F9091EE8FE0F2267"");
    userCreateCmd.setBirthDate(LocalDate.of(1967, 07, 17).toString());
}","@Before
public void setUp() {
    userCreateCmd = new UserCreateCmd();
    userCreateCmd.setFirstName(""John"");
    userCreateCmd.setLastName(""Doe"");
    userCreateCmd.setImage(""50D840B674A5C868F9091EE8FE0F2267"");
    userCreateCmd.setBirthDate(LocalDate.of(1967, 07, 17).toString());
}","setUp method.
",Before public void setUp userCreateCmd new UserCreateCmd userCreateCmd setFirstName John userCreateCmd setLastName Doe userCreateCmd setImage 50D840B674A5C868F9091EE8FE0F2267 userCreateCmd setBirthDate LocalDate of 1967 07 17 toString
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/component/user/service/UserServiceImplTest.java,createUser,54,"/**
 * Invoke {@link UserService#create(UserCreateCmd)}, validating gateway is called.
 *
 * <pre>
 * Scenario:
 *      1) Try to invoke {@link UserServiceImpl#create(UserCreateCmd)}.
 * Expectations:
 *      1) {@link UserGateway#save(OsUser)} is called.
 *      3) created {@link OsUser} is returned.
 * </pre>
 */
@Test
public void createUser() {
    OsUser user = getOsUser();
    when(service.create(userCreateCmd)).thenReturn(user);
    OsUser userCreated = service.create(userCreateCmd);
    assertThat(userCreated).isNotNull();
    assertThat(userCreated.getFirstName()).isEqualTo(userCreateCmd.getFirstName());
    assertThat(userCreated.getLastName()).isEqualTo(userCreateCmd.getLastName());
    assertThat(userCreated.getImage()).isEqualTo(userCreateCmd.getImage());
    assertThat(userCreated.getBirthDate()).isEqualTo(userCreateCmd.getBirthDate());
}","@Test
public void createUser() {
    OsUser user = getOsUser();
    when(service.create(userCreateCmd)).thenReturn(user);
    OsUser userCreated = service.create(userCreateCmd);
    assertThat(userCreated).isNotNull();
    assertThat(userCreated.getFirstName()).isEqualTo(userCreateCmd.getFirstName());
    assertThat(userCreated.getLastName()).isEqualTo(userCreateCmd.getLastName());
    assertThat(userCreated.getImage()).isEqualTo(userCreateCmd.getImage());
    assertThat(userCreated.getBirthDate()).isEqualTo(userCreateCmd.getBirthDate());
}","Invoke {@link UserService#create(UserCreateCmd)}, validating gateway is called.

<pre>
Scenario:
     1) Try to invoke {@link UserServiceImpl#create(UserCreateCmd)}.
Expectations:
     1) {@link UserGateway#save(OsUser)} is called.
     3) created {@link OsUser} is returned.
</pre>
",Test public void createUser OsUser user getOsUser when service create userCreateCmd thenReturn user OsUser userCreated service create userCreateCmd assertThat userCreated isNotNull assertThat userCreated getFirstName isEqualTo userCreateCmd getFirstName assertThat userCreated getLastName isEqualTo userCreateCmd getLastName assertThat userCreated getImage isEqualTo userCreateCmd getImage assertThat userCreated getBirthDate isEqualTo userCreateCmd getBirthDate
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/support/aspect/TokenValidatorAspectTest.java,setupMock,38,"/**
 * setUp method.
 */
@Before
public void setupMock() {
    MockitoAnnotations.initMocks(this);
    userId = 1L;
    communityId = 1L;
    roles = Arrays.asList(new OsRole(""OS_APP""));
    permissions = Arrays.asList(new OsPermission(""example:read""));
    tokenType = Token.Type.APP;
    mockPrincipal();
}","@Before
public void setupMock() {
    MockitoAnnotations.initMocks(this);
    userId = 1L;
    communityId = 1L;
    roles = Arrays.asList(new OsRole(""OS_APP""));
    permissions = Arrays.asList(new OsPermission(""example:read""));
    tokenType = Token.Type.APP;
    mockPrincipal();
}","setUp method.
",Before public void setupMock MockitoAnnotations initMocks this userId 1L communityId 1L roles Arrays asList new OsRole OS_APP permissions Arrays asList new OsPermission example read tokenType Token Type APP mockPrincipal
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/smu/io/gateway/pagination/PaginationTest.java,testGetData,22,"/**
 * Test method for get data of list
 * {@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
 */
@Test
public void testGetData() {
    Pagination.<String>getData(new Filter(1, 5), mockFunctionPaginator);
    verifyCallGetData(1, 5);
}","@Test
public void testGetData() {
    Pagination.<String>getData(new Filter(1, 5), mockFunctionPaginator);
    verifyCallGetData(1, 5);
}","Test method for get data of list
{@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
",Test public void testGetData Pagination String getData new Filter 1 5 mockFunctionPaginator verifyCallGetData 1 5
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/smu/io/gateway/pagination/PaginationTest.java,testGetDataPageSizeDefault,32,"/**
 * Test method for get data of list with default sizePage
 * {@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
 */
@Test
public void testGetDataPageSizeDefault() {
    Pagination.<String>getData(new Filter(2), mockFunctionPaginator);
    verifyCallGetData(2, 10);
}","@Test
public void testGetDataPageSizeDefault() {
    Pagination.<String>getData(new Filter(2), mockFunctionPaginator);
    verifyCallGetData(2, 10);
}","Test method for get data of list with default sizePage
{@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
",Test public void testGetDataPageSizeDefault Pagination String getData new Filter 2 mockFunctionPaginator verifyCallGetData 2 10
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/smu/io/gateway/pagination/PaginationTest.java,testGetDataDefaultFilter,42,"/**
 * Test method for get data of list with filter default
 * {@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
 */
@Test
public void testGetDataDefaultFilter() {
    Pagination.<String>getData(null, mockFunctionPaginator);
    verifyCallGetData(0, 10);
}","@Test
public void testGetDataDefaultFilter() {
    Pagination.<String>getData(null, mockFunctionPaginator);
    verifyCallGetData(0, 10);
}","Test method for get data of list with filter default
{@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
",Test public void testGetDataDefaultFilter Pagination String getData null mockFunctionPaginator verifyCallGetData 0 10
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/smu/io/gateway/pagination/PaginationTest.java,testGetDataDefaultValues,52,"/**
 * Test method for get data of list with default sizePage and page
 * {@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
 */
@Test
public void testGetDataDefaultValues() {
    Pagination.<String>getData(new Filter(), mockFunctionPaginator);
    verifyCallGetData(0, 10);
}","@Test
public void testGetDataDefaultValues() {
    Pagination.<String>getData(new Filter(), mockFunctionPaginator);
    verifyCallGetData(0, 10);
}","Test method for get data of list with default sizePage and page
{@link com.globant.os.accounts.external.smu.io.gateway.pagination.Pagination#getData}
",Test public void testGetDataDefaultValues Pagination String getData new Filter mockFunctionPaginator verifyCallGetData 0 10
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/smu/io/gateway/pagination/PaginationTest.java,verifyCallGetData,63,"/**
 * Verify the called method of interface
 * @param numberPage
 * @param sizePage
 */
private void verifyCallGetData(int numberPage, int sizePage) {
    ArgumentCaptor<Filter> argument = ArgumentCaptor.forClass(Filter.class);
    verify(mockFunctionPaginator).execute(argument.capture());
    assertThat(argument.getValue().getNumberPage()).isEqualTo(numberPage);
    assertThat(argument.getValue().getSizePage()).isEqualTo(sizePage);
}","private void verifyCallGetData(int numberPage, int sizePage) {
    ArgumentCaptor<Filter> argument = ArgumentCaptor.forClass(Filter.class);
    verify(mockFunctionPaginator).execute(argument.capture());
    assertThat(argument.getValue().getNumberPage()).isEqualTo(numberPage);
    assertThat(argument.getValue().getSizePage()).isEqualTo(sizePage);
}","Verify the called method of interface

@param numberPage
@param sizePage
",private void verifyCallGetData int numberPage int sizePage ArgumentCaptor Filter argument ArgumentCaptor forClass Filter class verify mockFunctionPaginator execute argument capture assertThat argument getValue getNumberPage isEqualTo numberPage assertThat argument getValue getSizePage isEqualTo sizePage
FutureOfOrganizations/os-account-service.git /src/test/java/com/globant/os/accounts/external/shared/ClientConfigurationTest.java,testBuildClientConfiguration,16,"/**
 * Test method for build ClientConfiguration
 * {@link com.globant.os.accounts.component.shared.io.util.client
 * ClientConfiguration#ClientConfiguration(String, EndpointType, int, int)}
 */
@Test
public void testBuildClientConfiguration() {
    ClientConfiguration clientConfiguration = new ClientConfiguration(SERVICE_ENDPOINT, 5, 10);
    assertThat(clientConfiguration.getServiceEndpoint()).isEqualTo(SERVICE_ENDPOINT);
    assertThat(clientConfiguration.getConnectionTimeout()).isEqualTo(5);
    assertThat(clientConfiguration.getSocketTimeout()).isEqualTo(10);
}","@Test
public void testBuildClientConfiguration() {
    ClientConfiguration clientConfiguration = new ClientConfiguration(SERVICE_ENDPOINT, 5, 10);
    assertThat(clientConfiguration.getServiceEndpoint()).isEqualTo(SERVICE_ENDPOINT);
    assertThat(clientConfiguration.getConnectionTimeout()).isEqualTo(5);
    assertThat(clientConfiguration.getSocketTimeout()).isEqualTo(10);
}","Test method for build ClientConfiguration
{@link com.globant.os.accounts.component.shared.io.util.client
ClientConfiguration#ClientConfiguration(String, EndpointType, int, int)}
",Test public void testBuildClientConfiguration ClientConfiguration clientConfiguration new ClientConfiguration SERVICE_ENDPOINT 5 10 assertThat clientConfiguration getServiceEndpoint isEqualTo SERVICE_ENDPOINT assertThat clientConfiguration getConnectionTimeout isEqualTo 5 assertThat clientConfiguration getSocketTimeout isEqualTo 10
